symbol,trade_id,alert_date,level,level_type,dist_pct,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_sv,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
PETR4.SA,56,2025-06-04,29.66,resistance,1.056,29.35,0.0131,29.35,2025-07-18,44,0.28,2025-06-06,0.59,0.31,107.86,20% target,2,3571.428571428571,1000,2107.142857142857,1107.1428571428569
PETR4.SA,57,2025-06-13,32.41,support,0.369,32.53,0.0173,32.53,2025-07-18,35,0.26,2025-06-17,0.63,0.37,142.1,20% target,4,3846.153846153846,1000,2423.0769230769233,1423.0769230769233
PETR4.SA,58,2025-07-02,32.41,resistance,1.123,32.05,0.018,32.05,2025-08-15,44,0.32,2025-07-03,0.41,0.09,29.47,20% target,1,3125,1000,1281.25,281.25
PETR4.SA,59,2025-07-17,31.1,support,1.176,31.47,0.0108,31.47,2025-08-15,29,0.2,2025-07-18,0.29,0.09,43.28,20% target,1,5000,1000,1450,450
PETR4.SA,60,2025-07-23,32.41,resistance,1.313,31.99,0.0102,31.99,2025-08-15,23,0.16,2025-07-29,0.57,0.41,250.5,20% target,6,6250,1000,3562.4999999999995,2562.4999999999995
PETR4.SA,61,2025-07-29,32.59,resistance,0.462,32.44,0.0101,32.44,2025-08-15,17,0.12,2025-07-30,0.44,0.32,259.95,20% target,1,8333.333333333334,1000,3666.666666666667,2666.666666666667
PETR4.SA,62,2025-08-08,30.85,resistance,1.048,30.53,0.0169,30.53,2025-09-19,42,0.29,2025-08-11,0.45,0.16,56.46,20% target,3,3448.2758620689656,1000,1551.7241379310346,551.7241379310346
PETR4.SA,63,2025-08-19,29.66,support,1.265,30.04,0.0167,30.04,2025-09-19,31,0.21,2025-08-20,0.38,0.16,76.11,20% target,1,4761.904761904762,1000,1809.5238095238096,809.5238095238096
PETR4.SA,64,2025-08-22,30.85,resistance,1.247,30.47,0.0161,30.47,2025-09-19,28,0.2,2025-08-25,0.35,0.15,76.14,20% target,3,5000,1000,1750,750
PETR4.SA,65,2025-09-19,30.85,support,0.676,31.06,0.0085,31.06,2025-10-17,28,0.19,2025-09-22,0.48,0.29,152.18,20% target,3,5263.157894736842,1000,2526.3157894736837,1526.3157894736837
