symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
ITUB4.SA,2026-06-17,40.8,38.6759,40.8897,5.21,0.22,Próximo da resistência,40.8897,resistance,0.22,30,True,ok
ABEV3.SA,2026-06-17,16.19,14.325,16.34,11.52,0.93,Próximo da resistência,16.34,resistance,0.926,30,True,ok
BBDC4.SA,2026-06-17,17.55,17.2413,17.7376,1.76,1.07,Próximo do suporte,17.7376,resistance,1.069,30,True,ok
VALE3.SA,2026-06-17,79.78,77.97,85.41,2.27,7.06,Região neutra,77.97,support,2.269,30,False,ok
PETR4.SA,2026-06-17,38.57,37.4302,43.2028,2.96,12.01,Região neutra,37.4302,support,2.955,30,False,ok
