symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
BBDC4.SA,2026-06-15,17.65,17.2413,17.7376,2.32,0.5,Próximo da resistência,17.7376,resistance,0.496,32,True,ok
ITUB4.SA,2026-06-15,40.4,38.6759,40.8015,4.27,0.99,Próximo da resistência,40.8015,resistance,0.994,32,True,ok
ABEV3.SA,2026-06-15,16.57,16.34,16.92,1.39,2.11,Próximo do suporte,16.34,support,1.388,32,True,ok
VALE3.SA,2026-06-15,81.16,77.97,85.41,3.93,5.24,Região neutra,77.97,support,3.931,32,False,ok
PETR4.SA,2026-06-15,39.06,37.4302,43.2028,4.17,10.61,Região neutra,37.4302,support,4.173,32,False,ok
