symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
VALE3.SA,2026-06-24,77.73,77.4,85.245,0.42,9.67,Próximo do suporte,77.4,support,0.425,23,True,ok
BBDC4.SA,2026-06-24,17.65,17.2413,17.7376,2.32,0.5,Próximo da resistência,17.7376,resistance,0.496,23,True,ok
ABEV3.SA,2026-06-24,16.38,16.2946,16.873,0.52,3.01,Próximo do suporte,16.2946,support,0.521,23,True,ok
ITUB4.SA,2026-06-24,40.97,40.5243,47.4304,1.09,15.77,Próximo do suporte,40.5243,support,1.088,23,True,ok
PETR4.SA,2026-06-24,38.29,37.414,43.1841,2.29,12.78,Região neutra,37.414,support,2.288,23,False,ok
