symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
ABEV3.SA,2026-07-01,16.2,15.9057,16.2946,1.82,0.58,Próximo do suporte,16.2946,resistance,0.584,51,True,ok
BBDC4.SA,2026-07-01,18.12,17.7376,18.2301,2.11,0.61,Próximo da resistência,18.2301,resistance,0.608,51,True,ok
VALE3.SA,2026-07-01,77.97,77.4,85.245,0.73,9.33,Próximo do suporte,77.4,support,0.731,51,True,ok
PETR4.SA,2026-07-01,37.83,37.414,43.1841,1.1,14.15,Próximo do suporte,37.414,support,1.1,51,True,ok
ITUB4.SA,2026-07-01,42.44,40.5068,47.4099,4.56,11.71,Região neutra,40.5068,support,4.555,51,False,ok
