symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
ABEV3.SA,2026-06-25,16.39,16.2946,16.873,0.58,2.95,Próximo do suporte,16.2946,support,0.582,22,True,ok
BBDC4.SA,2026-06-25,17.62,17.2006,17.7376,2.38,0.67,Próximo da resistência,17.7376,resistance,0.667,22,True,ok
VALE3.SA,2026-06-25,78.66,77.4,85.245,1.6,8.37,Próximo do suporte,77.4,support,1.602,22,False,ok
PETR4.SA,2026-06-25,38.45,37.4139,43.1841,2.69,12.31,Região neutra,37.4139,support,2.695,22,False,ok
ITUB4.SA,2026-06-25,41.7,40.5243,47.4304,2.82,13.74,Região neutra,40.5243,support,2.819,22,False,ok
