symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
BBDC4.SA,2026-06-22,17.68,17.2413,17.7376,2.48,0.33,Próximo da resistência,17.7376,resistance,0.326,25,True,ok
ITUB4.SA,2026-06-22,40.94,40.5243,47.4304,1.02,15.85,Próximo do suporte,40.5243,support,1.015,25,True,ok
ABEV3.SA,2026-06-22,16.17,15.95,16.34,1.36,1.05,Próximo do suporte,16.34,resistance,1.051,25,True,ok
VALE3.SA,2026-06-22,80.91,77.97,85.245,3.63,5.36,Região neutra,77.97,support,3.634,25,False,ok
PETR4.SA,2026-06-22,39.17,37.4139,43.1841,4.48,10.25,Região neutra,37.4139,support,4.483,25,False,ok
