symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
BBDC4.SA,2026-06-19,17.47,17.2413,17.7376,1.31,1.53,Próximo do suporte,17.2413,support,1.309,28,True,ok
ITUB4.SA,2026-06-19,39.87,38.3302,40.5243,3.86,1.64,Próximo da resistência,40.5243,resistance,1.641,28,False,ok
ABEV3.SA,2026-06-19,16.05,14.325,16.34,10.75,1.81,Próximo da resistência,16.34,resistance,1.807,28,False,ok
VALE3.SA,2026-06-19,80.75,77.97,85.245,3.44,5.57,Região neutra,77.97,support,3.443,28,False,ok
PETR4.SA,2026-06-19,38.8,37.4139,43.1841,3.57,11.3,Região neutra,37.4139,support,3.572,28,False,ok
