symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
ABEV3.SA,2026-06-26,16.73,16.2946,16.873,2.6,0.85,Próximo da resistência,16.873,resistance,0.855,21,True,ok
VALE3.SA,2026-06-26,78.15,77.4,85.245,0.96,9.08,Próximo do suporte,77.4,support,0.96,21,True,ok
BBDC4.SA,2026-06-26,17.92,17.7376,18.1903,1.02,1.51,Próximo do suporte,17.7376,support,1.018,21,True,ok
PETR4.SA,2026-06-26,38.06,37.414,43.1841,1.7,13.46,Próximo do suporte,37.414,support,1.697,21,False,ok
ITUB4.SA,2026-06-26,42.24,40.5243,47.4304,4.06,12.29,Região neutra,40.5243,support,4.062,21,False,ok
