symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
BBDC4.SA,2026-06-16,17.66,17.2413,17.7376,2.37,0.44,Próximo da resistência,17.7376,resistance,0.439,31,True,ok
ABEV3.SA,2026-06-16,16.44,16.34,16.92,0.61,2.92,Próximo do suporte,16.34,support,0.608,31,True,ok
ITUB4.SA,2026-06-16,40.45,38.6759,40.8897,4.39,1.09,Próximo da resistência,40.8897,resistance,1.087,31,True,ok
PETR4.SA,2026-06-16,38.54,37.4302,43.2028,2.88,12.1,Região neutra,37.4302,support,2.88,31,False,ok
VALE3.SA,2026-06-16,81.44,77.97,85.41,4.26,4.87,Região neutra,77.97,support,4.261,31,False,ok
