symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
BBDC4.SA,2026-06-29,18.17,17.7376,18.1903,2.38,0.11,Próximo da resistência,18.1903,resistance,0.111,18,True,ok
VALE3.SA,2026-06-29,78.13,77.4,85.245,0.93,9.11,Próximo do suporte,77.4,support,0.934,18,True,ok
ABEV3.SA,2026-06-29,16.59,16.2946,16.873,1.78,1.71,Próximo do suporte,16.873,resistance,1.706,18,False,ok
PETR4.SA,2026-06-29,38.14,37.414,43.1841,1.9,13.23,Próximo do suporte,37.414,support,1.904,18,False,ok
ITUB4.SA,2026-06-29,42.41,40.5243,47.4304,4.45,11.84,Região neutra,40.5243,support,4.446,18,False,ok
