symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
ABEV3.SA,2026-06-18,16.22,14.325,16.34,11.68,0.74,Próximo da resistência,16.34,resistance,0.74,29,True,ok
ITUB4.SA,2026-06-18,40.49,38.6759,40.8897,4.48,0.99,Próximo da resistência,40.8897,resistance,0.987,29,True,ok
BBDC4.SA,2026-06-18,17.47,17.2413,17.7376,1.31,1.53,Próximo do suporte,17.2413,support,1.309,29,True,ok
VALE3.SA,2026-06-18,79.94,77.97,85.245,2.46,6.64,Região neutra,77.97,support,2.464,29,False,ok
PETR4.SA,2026-06-18,38.85,37.4139,43.1841,3.7,11.16,Região neutra,37.4139,support,3.696,29,False,ok
