symbol,last_date,last_close,support_level,resistance_level,support_dist_pct,resistance_dist_pct,market_zone,nearest_level,nearest_level_type,dist_pct,days_to_exp,is_alert,status
ABEV3.SA,2026-06-30,16.29,15.9057,16.2946,2.36,0.03,Próximo da resistência,16.2946,resistance,0.028,17,True,ok
VALE3.SA,2026-06-30,77.88,77.4,85.245,0.62,9.46,Próximo do suporte,77.4,support,0.616,17,True,ok
BBDC4.SA,2026-06-30,18.1,17.7376,18.2301,2.0,0.72,Próximo da resistência,18.2301,resistance,0.719,17,True,ok
PETR4.SA,2026-06-30,37.8,37.414,43.1841,1.02,14.24,Próximo do suporte,37.414,support,1.021,17,True,ok
ITUB4.SA,2026-06-30,42.18,40.5243,47.4304,3.93,12.45,Região neutra,40.5243,support,3.925,17,False,ok
